window_id,session_id,timestamp_start,timestamp_end,fixation_duration_mean,fixation_count,saccade_velocity_mean,gaze_deviation,gaze_confidence,head_yaw,head_pitch,cursor_velocity_mean,cursor_velocity_std,click_frequency,keystroke_frequency,idle_fraction,tab_switch_count,velocity_spike_ratio,phone_detected,phone_confidence,notes_detected,extra_person_count,suspicious_objects_count,label,cheating_type,split
sess_000_w000,sess_000,0,10,1.94901424590337,4,176.5433924707204,0.08837123876600413,0.9803154585441958,-2.32351253609406,-3.575509421534443,102.85859502737576,30.759171622528953,0.008117648095959829,1.5801478729587612,0.21531560647610617,0,0.009522480047682781,0,0.012966561982925926,0,0,0,0,none,test
sess_000_w001,sess_000,10,20,1.158113803177128,4,151.22516056444243,0.09127094055037016,0.9319808393024358,-1.1667749991731071,-3.8051198366881906,175.56834553526812,39.86502775262066,0.24134336065661496,1.5290179648412756,0.052332508002318215,0,0.09556626083104881,0,0.03193639724282318,0,0,0,0,none,test
sess_000_w002,sess_000,20,30,2.0215399739986233,2,184.28420702974927,0.04972743971404678,0.9025011735938934,3.0948016673347274,-3.6144249849888794,79.59965707915961,31.194087339528934,0.230417154297765,1.2537715530512088,0.19656982357704314,0,0.05775496919186715,0,0.01792834109895426,0,0,0,0,none,test
sess_000_w003,sess_000,30,40,1.612956781504512,4,152.3416256498493,0.04411380127757988,0.9743757746718259,5.424960114283292,-2.2160303647410013,150.10598693676073,43.61636025047634,0.3032320368092314,1.3445582422033655,0.27304292531727753,0,0.10744592507253345,0,0.010796091949326242,0,0,0,0,none,test
sess_000_w004,sess_000,40,50,1.8261141204714515,7,172.5248162383533,0.05574519191320437,0.9349472886924639,3.6616084708082965,-1.0137466710209466,104.10719388698884,45.13267433113356,0.41456163240220606,1.5874579962131556,0.0938357524898118,0,0.03344675706804463,0,0.022961202770645762,0,0,0,0,none,test
sess_000_w005,sess_000,50,60,1.8783165816539669,2,170.11208871049266,0.07132589430590174,0.9635880897960052,-0.6642436334042614,-1.355183509715735,59.330552004127945,30.569431915327378,0.6105938107988941,1.192579678195344,0.01611963024078214,0,0.04120460419882053,0,0.04463242112485286,0,0,0,0,none,test
sess_000_w006,sess_000,60,70,1.9433262298300582,6,173.52428388152774,0.1037309584112914,0.9227183763561578,5.611177243744397,-6.205553188376843,137.60571281400811,61.90455625809979,0.2514195512303968,0.9734809081588912,0.1579721092070113,0,0.029930486917676018,0,0.22594692551470935,0,0,1,0,none,test
sess_000_w007,sess_000,70,80,1.8205688924418082,5,171.08137435579513,0.09668365395601897,0.9813158183275597,2.105792645338783,2.0916595732513157,196.17488148807996,36.75509042171107,0.3691199924356743,0.6239834209264807,0.2452581804890912,0,0.05043883131233795,0,0.02296984673233186,0,0,0,0,none,test
sess_000_w008,sess_000,80,90,1.9852922536533435,4,210.42676992450276,0.08879217419896043,0.9285694574592089,7.463098044579026,-0.5785012372646374,84.26089508392054,46.5655360863383,0.25379774946590183,1.5148338414969809,0.2426876463205923,0,0.023586353632965792,0,0.0282206015999449,0,0,0,0,none,test
sess_000_w009,sess_000,90,100,2.3690378947961843,3,178.0724572646474,0.09023455924449932,0.9583007239799005,3.308732996144095,-1.9609943243662789,163.6060223147195,37.35343166762044,0.8080253749884428,1.4502669391060024,0.08142739548669739,0,0.04083960128940046,0,0.01862728182902184,0,0,0,0,none,test
sess_000_w010,sess_000,100,110,1.7329611644022447,6,197.85001235230231,0.1113671350503895,0.9397357486218385,-3.704186476845912,-3.5388959529068655,141.30327721091862,40.92478871551097,0.4945112407901512,1.9051749889212912,0.16847629783561063,1,0.023821262172192777,0,0.030574235088623763,0,0,0,0,none,test
sess_000_w011,sess_000,110,120,1.8154082578438906,13,185.80740395441012,0.08528542766156964,0.9154230388501995,-6.003073572828696,-1.5049316056719844,94.32213246511895,39.60363857960381,0.31980058872249045,0.4846013980078012,0.17858436335493072,0,0.03056136268421133,0,0.030889505969673662,0,0,0,0,none,test
sess_000_w012,sess_000,120,130,2.268114042339864,3,183.21377500177704,0.15167107872177388,1.0,5.453741963806817,0.48629793281462463,120.45429834779593,44.420740168667315,0.5572029615992429,0.9485721010097173,0.11444010046246539,0,0.0066173528181893634,0,0.28825447377945956,0,0,1,0,none,test
