window_id,session_id,timestamp_start,timestamp_end,fixation_duration_mean,fixation_count,saccade_velocity_mean,gaze_deviation,gaze_confidence,head_yaw,head_pitch,cursor_velocity_mean,cursor_velocity_std,click_frequency,keystroke_frequency,idle_fraction,tab_switch_count,velocity_spike_ratio,phone_detected,phone_confidence,notes_detected,extra_person_count,suspicious_objects_count,label,cheating_type,split
sess_000_w000,sess_000,0,10,1.8837123876600415,5,205.26288212016317,0.06285859502737576,0.9222775148675868,-10.450196050774405,0.8511090471907092,144.49335242853982,24.761240023841392,0.33579309037356486,0.903037265152331,0.0937324958634074,0,0.0,0,0.02067528204687924,0,0,0,0,none,train
sess_000_w001,sess_000,10,20,1.372575544135963,4,164.9936537473522,0.10842319463139917,0.9587310200378654,-2.5422389610985574,-5.064656584026793,115.14733840807438,34.66351196157513,0.39917082065198106,1.1082198184672174,0.18114791306048986,0,0.04417727190009511,0,0.00040329876120224345,0,0,0,0,none,train
sess_000_w002,sess_000,20,30,1.4015441853304709,8,184.9215308967281,0.04972743971404678,0.9025011735938934,3.0948016673347274,-3.6144249849888794,79.59965707915961,31.194087339528934,0.230417154297765,1.2537715530512088,0.19656982357704314,0,0.05775496919186715,0,0.011607824767773615,0,0,0,0,none,train
sess_000_w003,sess_000,30,40,1.7072362872446356,5,200.31314555985495,0.12068720085712469,0.9478396963525899,4.014131591568097,-0.9150919248570974,100.64640736184627,43.61395605508414,0.6307054849698954,1.1856695843560194,0.2751714924651205,0,0.03202723219969598,0,0.019391359125252538,0,0,0,0,none,train
sess_000_w004,sess_000,40,50,1.3743748624225791,6,206.06229043348551,0.05574519191320437,0.9349472886924639,3.6616084708082965,-1.0137466710209466,104.10719388698884,45.13267433113356,0.41456163240220606,1.5874579962131556,0.0938357524898118,0,0.03344675706804463,0,0.03273733620139556,0,0,0,0,none,train
sess_000_w005,sess_000,50,60,1.712414198752314,3,170.11208871049266,0.07132589430590174,0.9635880897960052,-0.6642436334042614,-1.355183509715735,59.330552004127945,30.569431915327378,0.6105938107988941,1.192579678195344,0.01611963024078214,0,0.04120460419882053,0,0.04463242112485286,0,0,0,0,none,train
sess_000_w006,sess_000,60,70,1.7422917105656632,6,187.53868355834032,0.05594516469950919,0.9915204715679803,5.620821223512752,2.1769772604757085,93.58077544410692,40.76894948584572,0.32598512766950105,1.5692650433367812,0.28652839629427695,0,0.057471788312707585,0,0.004493365689338674,0,0,0,0,none,train
sess_000_w007,sess_000,70,80,1.8205688924418082,6,171.08137435579513,0.09668365395601897,0.9813158183275597,2.105792645338783,2.0916595732513157,196.17488148807996,36.75509042171107,0.3691199924356743,0.6239834209264807,0.2452581804890912,0,0.05043883131233795,0,0.02296984673233186,0,0,0,0,none,train
sess_000_w008,sess_000,80,90,1.875147855103763,5,188.66120523742438,0.08879217419896043,0.9285694574592089,7.463098044579026,-0.5785012372646374,84.26089508392054,46.5655360863383,0.25379774946590183,1.5148338414969809,0.2426876463205923,0,0.023586353632965792,0,0.024244862440564507,0,0,0,0,none,train
sess_000_w009,sess_000,90,100,2.082160675488603,4,178.0724572646474,0.09023455924449932,0.9583007239799005,3.308732996144095,-1.9609943243662789,163.6060223147195,37.35343166762044,0.8080253749884428,1.4502669391060024,0.08142739548669739,0,0.04083960128940046,0,0.01862728182902184,0,0,0,0,none,train
sess_000_w010,sess_000,100,110,1.7627602833355023,8,198.50852044869347,0.08519542777553546,0.9615595213918651,-3.535429744804532,-1.5388246821634164,121.74626155338,28.57029702169377,0.4536681040522425,1.4243138105472937,0.23664409945402215,0,0.06107604104069806,0,0.029051219599565595,0,0,0,0,none,train
sess_000_w011,sess_000,110,120,1.6188286882546414,12,167.8659113042724,0.08245622418158968,1.0,-7.469060770366992,0.058780571123540515,71.61852386431045,35.280681342105666,0.563342589545105,1.225712007638185,0.0637804177656555,0,0.050991526901253345,0,0.007291281931239601,0,0,0,0,none,train
sess_000_w012,sess_000,120,130,2.5167107872177388,8,226.08534395801334,0.09514961836941371,0.9759726558251036,-4.801185628223105,-3.003503707522845,105.75164066517132,33.46670767426288,0.6648181360421646,1.3619926843843821,0.04912928365319638,0,0.05835723894109553,0,0.02377296265460409,0,0,0,0,none,train
